year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2017,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,Asia,1.488412261,1.323110461,,0.653133035,0.536746919,0.172668487,
2015,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,Asia,0.39753,0.43106,,0.60164,0.4082,0.21222,
2018,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,Asia,0.532,,0.85,0.579,0.58,0.153,0.144
2016,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,Asia,0.54177,0.24749,,0.52989,0.39778,0.19132,
2019,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,Asia,0.562,,0.928,0.723,0.527,0.166,0.143
2017,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,142.0,Asia,0.586682975,0.735131741,,0.533241034,0.478356659,0.172255352,
2015,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,Europe,1.03192,1.23289,,0.73608,0.37938,0.11046,
2018,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,Europe,1.039,,1.498,0.7,0.307,0.101,0.154
2019,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,Europe,1.067,,1.465,0.789,0.235,0.094,0.142
2016,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,Europe,1.13062,1.04993,,0.63104,0.29091,0.13942,
2017,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150.0,Europe,1.15655756,1.444945216,,0.637714267,0.295400262,0.155137509,
2015,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,Europe,1.30782,1.28566,,0.89667,0.5845,0.2225,
2018,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,Europe,1.324,,1.483,0.894,0.583,0.188,0.24
2019,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,Europe,1.356,,1.504,0.986,0.473,0.16,0.21
2016,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,Europe,1.42539,1.05249,,0.81959,0.51354,0.2424,
2017,Belgium,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,150.0,Europe,1.463780761,1.462312698,,0.818091869,0.539770722,0.231503338,
2018,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19.0,Americas,0.807,,1.101,0.474,0.593,0.183,0.089
2016,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19.0,Americas,0.87616,0.68655,,0.45569,0.51231,0.23684,
2017,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19.0,Americas,0.907975316,1.081417799,,0.450191766,0.547509372,0.240015641,
2015,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2.0,Africa,0.28665,0.35386,,0.3191,0.4845,0.1826,
2018,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2.0,Africa,0.378,,0.372,0.24,0.44,0.163,0.067
2019,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2.0,Africa,0.393,,0.437,0.397,0.349,0.175,0.082
2016,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2.0,Africa,0.39499,0.10419,,0.21028,0.39747,0.2018,
2017,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2.0,Africa,0.431085408,0.435299844,,0.209930211,0.425962776,0.207948461,
2015,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,Asia,0.77042,1.10395,,0.57407,0.53206,0.47998,
2018,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,Asia,0.796,,1.335,0.527,0.541,0.364,0.171
2019,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,Asia,0.813,,1.321,0.604,0.457,0.37,0.167
2016,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,Asia,0.8527,0.90836,,0.49759,0.46074,0.48546,
2017,Bhutan,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,142.0,Asia,0.885416389,1.340126514,,0.495879292,0.501537681,0.474054545,
2015,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,Americas,0.68133,0.97841,,0.5392,0.57414,0.20536,
2018,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,Americas,0.751,,1.223,0.508,0.606,0.141,0.054
2019,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,Americas,0.776,,1.209,0.706,0.511,0.137,0.064
2016,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,Americas,0.79422,0.83779,,0.4697,0.50961,0.21698,
2017,Bolivia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg,19.0,Americas,0.833756566,1.227619052,,0.47363025,0.558732927,0.225560725,
2015,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,0.83223,0.91916,,0.79081,0.09245,0.24808,
2018,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,0.915,,1.078,0.758,0.28,0.216,0.0
2016,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,0.93383,0.64367,,0.70766,0.09511,0.29889,
2019,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,0.945,,1.212,0.845,0.212,0.263,0.006
2017,Bosnia and Herzegovina,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg,,,0.982409418,1.069335938,,0.705186307,0.204403177,0.328867495,
2015,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2.0,Africa,0.99355,1.10464,,0.04776,0.49495,0.10461,
2018,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2.0,Africa,1.017,,1.174,0.417,0.557,0.042,0.092
2019,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2.0,Africa,1.041,,1.145,0.538,0.455,0.025,0.1
2016,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2.0,Africa,1.09426,0.89186,,0.34752,0.44089,0.12425,
2017,Botswana,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,2.0,Africa,1.122094154,1.221554995,,0.341755509,0.505196333,0.099348448,
2015,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,Americas,0.98124,1.23287,,0.69702,0.49049,0.14574,
2018,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,Americas,0.986,,1.474,0.675,0.493,0.11,0.088
2019,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,Americas,1.004,,1.439,0.802,0.39,0.099,0.086
2016,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,Americas,1.08754,1.03938,,0.61415,0.40425,0.15776,
2017,Brazil,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,19.0,Americas,1.10735321,1.431306005,,0.616552353,0.437453747,0.162349895,
2015,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150.0,Europe,1.01216,1.10614,,0.76649,0.30587,0.11921,
2018,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150.0,Europe,1.054,,1.515,0.712,0.359,0.064,0.009
2019,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150.0,Europe,1.092,,1.513,0.815,0.311,0.081,0.004
2016,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150.0,Europe,1.11306,0.92542,,0.67806,0.21219,0.12793,
2017,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,150.0,Europe,1.161459088,1.434379458,,0.70821768,0.289231718,0.113177694,
2015,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2.0,Africa,0.25812,0.85188,,0.27125,0.39493,0.21747,
